POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
Dealer,1,1,1,RK,268,0,0,"Sector-16 Ulwe,Lalitpur",28.4,77.3,35
Dealer,0,0,1,BHK,270,1,1,"Andheri (West),Lalitpur",19.1,72.8,110
Dealer,1,1,1,BHK,270,0,1,"Vikhroli (West),Maharashtra",19.1,72.9,62
Owner,0,0,1,BHK,272,1,1,"Shastri Nagar,Meerut",28.9,77.7,14.9
Owner,0,0,1,BHK,279,1,1,"Khambhaliya Gate,Jamnagar",22.2,69.7,18
Builder,1,1,1,RK,283,0,0,"Jaitala,Lalitpur",24.7,78.4,9.9
Owner,0,0,1,BHK,284,1,1,"mayur nagar,Rajkot",21.7,70.5,9
Owner,0,0,1,BHK,288,1,1,"Sector-70 Noida,Noida",28.6,77.4,31
Owner,0,0,1,BHK,289,1,1,"Baddi,Solan",30.9,77.1,8
Dealer,0,1,1,BHK,290,1,0,"Brahmand,Mumbai",19.0,72.8,46
Dealer,0,1,1,BHK,290,1,0,"Brahmand,Lalitpur",24.7,78.4,46
Dealer,1,0,1,BHK,290,0,1,"Malad (East),Lalitpur",19.2,72.9,60
Dealer,1,0,1,BHK,292,0,1,"Bhandup (West),Mumbai",19.1,72.9,56
Dealer,1,1,1,BHK,292,0,0,"Nandore,Palghar",19.7,72.8,17
Dealer,0,0,1,BHK,293,1,1,"Shapar,Rajkot",21.4,70.9,3.4
Owner,0,0,2,BHK,295,1,1,"Sector-65 Mohali,Mohali",30.7,76.7,18
Owner,0,0,1,BHK,296,1,1,"Lajpat Nagar - Ghaziabad,Ghaziabad",28.5,77.0,18
Owner,0,0,1,BHK,297,1,1,"Render Road,Surat",21.0,77.0,4.9
Dealer,0,1,1,BHK,297,1,0,"Taloja,Lalitpur",24.7,78.4,25
Dealer,0,1,1,BHK,297,1,0,"Taloja,Mumbai",19.1,73.1,27
Dealer,0,1,1,BHK,297,1,0,"Taloja,Maharashtra",21.6,74.2,27
Dealer,0,1,1,BHK,297,1,0,"Taloja,Lalitpur",24.7,78.4,27
Dealer,1,1,1,BHK,297,0,0,"Taloja,Lalitpur",24.7,78.4,27
Owner,0,0,1,BHK,300,1,1,"Mandvi,Vadodara",23.0,69.3,9
Owner,0,0,1,BHK,300,1,1,"Sector G Ashiyana,Lucknow",26.8,80.9,18
Owner,0,0,1,BHK,300,1,1,"Tollygunge,Kolkata",22.5,88.4,12
Dealer,0,0,1,BHK,300,1,1,"Sector-5 Kharghar,Mumbai",19.0,73.1,62
Builder,1,0,1,BHK,300,0,0,"Kachimet,Lalitpur",24.7,78.4,11.5
Owner,0,0,1,BHK,300,1,1,"Pratap Nagar,Vadodara",26.8,75.8,7
Dealer,1,0,1,BHK,300,0,1,"Wadala East,Lalitpur",19.0,72.9,91
Dealer,1,1,1,BHK,300,0,0,"Wadala East,Maharashtra",19.0,72.9,91
Dealer,1,1,1,BHK,300,0,0,"Wadala East,Lalitpur",19.0,72.9,91
Builder,1,1,1,BHK,302,0,0,"Taloja,Mumbai",19.1,73.1,26.3
Builder,1,1,1,BHK,302,0,0,"Taloja,Lalitpur",24.7,78.4,26.3
Builder,1,1,1,BHK,303,0,0,"Sutar Mala,Kolhapur",17.3,73.7,13.9
Dealer,0,0,1,BHK,305,1,1,"Taloja,Mumbai",19.1,73.1,23
Dealer,0,0,1,BHK,305,1,1,"Taloja,Maharashtra",21.6,74.2,23
Dealer,0,0,1,BHK,305,1,1,"Taloja,Lalitpur",24.7,78.4,23
Dealer,1,1,1,BHK,306,0,0,"Naigaon (East),Lalitpur",19.4,72.9,36.7
Dealer,1,1,1,BHK,308,0,0,"Malad (East),Maharashtra",19.2,72.9,76.8
Owner,0,0,1,BHK,309,1,1,"Ajmer Road,Jaipur",26.9,75.8,10.9
Dealer,0,0,1,BHK,310,1,1,"Hajipur,Noida",28.5,77.4,8
Dealer,1,1,1,BHK,310,0,1,"Sector 75 Faridabad,Faridabad",28.4,77.3,12.9
Dealer,1,1,1,BHK,312,0,1,"Sector 75 Faridabad,Faridabad",28.4,77.3,12.4
Dealer,1,0,1,BHK,312,0,1,"Sector 75 Faridabad,Faridabad",28.4,77.3,13
Dealer,1,1,1,BHK,312,0,1,"Sector 75 Faridabad,Faridabad",28.4,77.3,13.1
Owner,0,1,1,BHK,312,1,1,"Panki,Kanpur",26.5,80.2,10
Dealer,1,1,1,BHK,313,0,0,"Sector-70 Gurgaon,Gurgaon",28.4,77.0,12.5
Dealer,1,1,1,BHK,315,0,0,"Sector-70 Gurgaon,Gurgaon",28.4,77.0,12.6
Owner,0,0,1,BHK,315,1,1,"Mangalapalem,Visakhapatnam",17.8,82.2,12.5
Owner,0,0,1,BHK,315,1,1,"Kanakpura,Jaipur",26.9,75.7,17
Dealer,1,1,1,BHK,315,0,0,"Sector-70 Gurgaon,Gurgaon",28.4,77.0,12.6
Dealer,1,1,1,BHK,315,0,0,"Sector-70 Gurgaon,Gurgaon",28.4,77.0,12.6
Dealer,1,0,1,BHK,317,0,1,"Majiwada,Maharashtra",19.2,73.0,51
Dealer,1,0,1,BHK,317,0,1,"Majiwada,Mumbai",19.2,73.0,50
Dealer,1,1,1,BHK,317,0,0,"Majiwada,Maharashtra",19.2,73.0,48.9
Owner,0,0,1,BHK,317,1,1,"Panki,Kanpur",26.5,80.2,10.5
Owner,1,0,1,BHK,317,0,1,"Old Madras Road,Bangalore",13.0,77.7,16.5
Builder,1,1,1,BHK,319,0,0,"Dahisar (East),Mumbai",19.3,72.9,50.5
Owner,0,0,1,BHK,320,1,1,"Patanjali Yogpeeth,Haridwar",29.9,78.0,12
Owner,0,0,1,BHK,320,1,1,"Patanjali Yogpeeth,Haridwar",29.9,78.0,10
Dealer,1,1,1,BHK,321,0,0,"Taloja,Mumbai",19.1,73.1,28.8
Dealer,1,1,1,BHK,321,0,1,"Andheri (East),Mumbai",19.1,72.9,96
Dealer,1,1,1,BHK,321,0,1,"Andheri (East),Maharashtra",19.1,72.9,96
Dealer,1,1,1,BHK,322,0,0,"Bhandup (West),Maharashtra",19.1,72.9,56.3
Dealer,1,1,1,BHK,322,0,1,"Bhandup (West),Mumbai",19.1,72.9,62
Dealer,1,1,1,BHK,322,0,1,"Bhandup (West),Lalitpur",19.1,72.9,62
Dealer,1,1,1,BHK,323,0,0,"Bhandup (West),Lalitpur",19.1,72.9,60.9
Owner,0,0,1,BHK,323,1,1,"Panki,Kanpur",26.5,80.2,9
Dealer,1,1,1,BHK,323,0,1,"Bhandup (West),Lalitpur",19.1,72.9,56.9
Dealer,0,1,1,BHK,324,1,1,"Sector 82 Faridabad,Faridabad",28.4,77.4,15
Owner,0,0,1,BHK,324,1,1,"Talpur,Bhilai",21.2,81.3,8.5
Owner,0,0,1,BHK,325,1,1,"Vedapatti,Coimbatore",11.0,76.9,18
Dealer,0,0,1,BHK,325,1,1,"Nalasopara (West),Mumbai",19.0,72.8,26.5
Dealer,1,1,1,BHK,326,0,0,"Balkum,Maharashtra",19.2,73.0,57
Dealer,1,1,1,BHK,326,0,0,"Balkum,Mumbai",19.2,73.0,57
Dealer,1,1,1,BHK,326,0,0,"Balkum,Maharashtra",19.2,73.0,60.2
Owner,0,0,1,BHK,328,1,1,"Jankipuram,Lucknow",26.9,80.9,17
Dealer,1,1,1,BHK,328,0,0,"Kalyan (West),Mumbai",19.2,73.1,33.7
Dealer,1,1,1,BHK,328,0,0,"Kalyan (West),Lalitpur",19.2,73.1,33.7
Owner,0,0,1,BHK,329,1,1,"kudi bhagtasani housing board,Jodhpur",26.2,73.2,9
Owner,0,0,1,BHK,330,1,1,"Tifra,Bilaspur",22.1,82.1,10
Dealer,1,1,1,BHK,330,0,1,"Thane West,Maharashtra",19.2,73.0,76
Dealer,1,1,1,BHK,330,0,1,"Thane West,Lalitpur",19.2,73.0,76
Dealer,1,1,1,BHK,330,0,1,"Thane West,Mumbai",19.2,73.0,76
Owner,0,0,1,BHK,330,1,1,"Subhash Nagar,Ujjain",23.2,75.8,12.5
Dealer,1,1,1,BHK,333,0,0,"Balkum,Lalitpur",24.7,78.4,49.2
Owner,0,0,1,BHK,333,1,1,"Mavdi Mainroad,Rajkot",22.3,70.8,21
Dealer,0,0,1,BHK,333,1,1,"Kundli,Sonipat",28.9,77.1,14.9
Owner,0,1,1,BHK,334,1,1,"Kalindipuram,Allahabad",25.4,81.8,17
Owner,0,0,1,BHK,334,1,1,"Siddhartha Vihar,Ghaziabad",28.7,77.4,16
Owner,0,0,1,BHK,334,1,1,"Sector-73 Noida,Noida",28.6,77.4,25
Owner,0,0,1,BHK,338,1,1,"Shirke Layout,Bangalore",13.0,77.6,9.5
Dealer,0,0,1,BHK,339,1,1,"Vaishali Nagar,Jaipur",26.9,75.8,9.5
Owner,0,0,1,BHK,340,1,1,"Mithila,Bankura",23.2,87.1,4.9
Owner,0,0,1,BHK,340,1,1,"Mithila,Bankura",23.2,87.1,5.7
Owner,1,0,1,BHK,340,0,1,"Crossing Republik,Ghaziabad",28.6,77.4,7
Dealer,0,1,2,BHK,342,1,0,"Purseni,Lucknow",26.7,81.0,11
Builder,1,1,2,BHK,343,0,0,"Karanjade,Maharashtra",19.0,73.1,62.5
Dealer,1,1,1,BHK,343,0,1,"Karade Khurd,Mumbai",19.0,72.8,22.5
Dealer,1,1,1,BHK,343,0,1,"Karade Khurd,Maharashtra",19.5,73.3,22.5
Dealer,1,1,1,BHK,343,0,1,"Karade Khurd,Lalitpur",24.0,79.1,22.5
Builder,1,1,1,BHK,344,0,0,"Neral,Maharashtra",19.0,73.3,15.2
Builder,1,1,1,BHK,344,0,0,"Neral,Lalitpur",27.7,85.3,15.2
Dealer,0,0,1,BHK,344,1,1,"Sector-71 Noida,Noida",28.6,77.4,16
Owner,0,0,1,BHK,344,1,1,"Govind Puram,Ghaziabad",28.7,77.4,16
Owner,0,0,1,BHK,344,1,1,"Jagriti Vihar,Meerut",30.3,78.1,13.5
Owner,0,0,1,BHK,345,1,1,"Gangashahar,Bikaner",28.0,73.3,7.1
Owner,1,1,1,BHK,345,0,1,"Sardarpura,Jodhpur",26.3,73.0,19
Dealer,1,0,1,BHK,345,0,1,"Diva,Lalitpur",28.5,77.2,35.1
Dealer,1,1,2,BHK,345,0,0,"Ravet,Pune",18.7,73.7,34.5
Dealer,0,1,1,BHK,347,1,1,"Badlapur,Lalitpur",24.7,78.4,26
Builder,1,1,1,BHK,349,0,0,"Sangriya,Jodhpur",26.2,73.0,8.7
Owner,0,0,20,BHK,349,1,1,"Rat,Ratnagiri",17.0,73.3,15.2
Owner,0,0,1,BHK,350,1,1,"Adajan,Surat",24.4,79.0,7.2
Owner,0,0,1,BHK,350,1,1,"Gandhigram,Rajkot",22.3,70.8,14.5
Owner,1,0,1,BHK,350,0,1,"Chikani,Alwar",27.7,76.7,12
Dealer,1,1,1,BHK,350,0,1,"Bhandup (West),Maharashtra",19.1,72.9,33
Dealer,1,1,1,BHK,350,0,1,"Bhandup (West),Mumbai",19.1,72.9,33
Owner,0,0,1,BHK,350,1,1,"sadhana,Jamnagar",22.6,70.2,10.5
Owner,0,0,1,BHK,350,1,1,"Bhawani Peth,Pune",18.5,73.9,31.5
Dealer,0,0,1,RK,350,1,1,"Mindspace,Lalitpur",24.7,78.4,72
Dealer,0,0,1,RK,350,1,1,"Adharwadi,Lalitpur",24.7,78.4,24
Dealer,0,0,1,RK,350,1,1,"Ramachandra Nagar,Lalitpur",22.7,75.8,65
Dealer,0,0,1,RK,350,1,1,"I C Colony,Lalitpur",24.7,78.4,58
Dealer,0,0,1,BHK,350,1,1,"Dahisar (East),Lalitpur",19.3,72.9,75
Dealer,1,0,1,BHK,350,0,1,"Goregaon (East),Lalitpur",19.2,72.9,85
Dealer,0,0,1,BHK,350,1,1,"Bhandup (West),Mumbai",19.1,72.9,85
Owner,0,0,1,BHK,350,1,1,"Kadodara,Surat",21.2,73.0,10
Owner,0,0,1,BHK,350,1,1,"Rachna Nagar,Bhopal",23.2,77.4,20
Owner,0,0,1,BHK,350,1,1,"Pushkardham,Rajkot",22.3,70.8,16.5
Owner,1,0,1,BHK,350,0,1,"back side of Lokanath temple,Puri",27.8,-82.8,13
Owner,1,0,1,BHK,350,0,1,"lokonath temple road,Puri",32.2,76.3,13
Dealer,1,1,1,BHK,350,0,0,"Vartak Nagar,Mumbai",19.0,72.8,43.4
Owner,0,0,1,BHK,350,1,1,"Bopele,Raigad",18.7,72.9,16
Owner,0,0,1,BHK,350,1,1,"Subhanpura,Vadodara",22.3,73.2,9
Owner,0,0,1,BHK,350,1,1,"Sawarde,Ratnagiri",17.4,73.5,9
Owner,0,0,1,BHK,350,1,1,"Satara Parisar,Aurangabad",19.8,75.3,12
Dealer,0,0,1,BHK,350,1,1,"Birati,Kolkata",22.7,88.4,15
Dealer,1,1,1,BHK,350,0,0,"Hiranandani Gardens - Powai,Lalitpur",19.1,72.9,130
Owner,0,0,1,BHK,350,1,1,"Ajmer Road,Jaipur",26.9,75.8,5.5
Owner,0,1,1,BHK,350,1,1,"Madhuban Bapudham,Ghaziabad",28.7,77.5,8
Owner,1,0,1,BHK,350,0,1,"Akharghat,Muzaffarpur",26.1,85.5,8
Owner,0,0,1,BHK,350,1,1,"Waghodia,Vadodara",22.3,73.2,7.5
Builder,1,1,1,BHK,350,0,0,"Sumerpur,Pali",25.2,73.1,7.4
Dealer,1,1,1,BHK,351,0,0,"New Panvel East,Maharashtra",19.0,73.1,55.1
Dealer,1,1,1,BHK,352,0,0,"Vartak Nagar,Lalitpur",24.7,78.4,54.5
Builder,1,1,1,BHK,352,0,0,"Kankavli,Lalitpur",24.7,78.4,14.9
Builder,0,1,1,BHK,352,1,0,"Wadi,Maharashtra",18.6,73.1,15.5
Dealer,1,1,1,BHK,352,0,0,"Bhadra Nagar,Mumbai",19.0,72.8,29.6
Dealer,1,1,1,BHK,353,0,0,"Bhadra Nagar,Maharashtra",20.7,80.1,36.3
Dealer,1,1,1,BHK,353,0,0,"Bhadra Nagar,Lalitpur",24.9,78.3,38
Dealer,1,1,1,BHK,353,0,0,"Bhadra Nagar,Lalitpur",24.9,78.3,38
Dealer,1,1,1,BHK,353,0,0,"Bhadra Nagar,Lalitpur",24.9,78.3,38
Dealer,1,1,1,BHK,353,0,0,"Bhadra Nagar,Maharashtra",20.7,80.1,38
Dealer,1,0,1,BHK,353,0,1,"Dombivli (East),Lalitpur",19.2,73.1,31
Dealer,0,1,1,BHK,353,1,1,"Bhadra Nagar,Lalitpur",24.9,78.3,31
Dealer,0,0,1,BHK,353,1,1,"Vajulsar,Palghar",19.7,72.8,17.3
Owner,0,0,1,BHK,353,1,1,"Near j.k.files,Ratnagiri",17.0,73.3,11.2
Dealer,1,1,1,BHK,354,0,0,"Vartak Nagar,Lalitpur",24.7,78.4,42.9
Dealer,0,1,1,BHK,354,1,1,"I C Colony,Mumbai",19.0,72.8,93.8
Dealer,0,1,1,BHK,354,1,1,"Khoni,Mumbai",19.2,73.1,26.5
Dealer,0,1,1,BHK,354,1,1,"Khoni,Maharashtra",19.2,73.1,26.5
Owner,0,1,1,BHK,354,1,1,"Kambalgaon,Palghar",19.8,72.8,12.4
Owner,0,0,1,BHK,355,1,1,"Shailesh Park,Navsari",20.6,73.7,4
Dealer,0,0,1,RK,355,1,1,"Neral,Lalitpur",27.7,85.3,11
Owner,0,0,1,BHK,355,1,1,"Pratap Nagar,Udaipur",24.6,73.7,8
Dealer,1,0,1,BHK,355,0,1,"Ghatkopar (East),Mumbai",19.1,72.9,120
Dealer,1,0,1,BHK,355,0,1,"Ghatkopar (East),Lalitpur",19.1,72.9,120
Owner,0,0,1,BHK,357,1,1,"Gandhigram,Rajkot",22.3,70.8,18
Dealer,0,0,1,BHK,358,1,1,"Byculla East,Mumbai",19.0,72.9,100
Dealer,1,1,1,BHK,358,0,1,"Hiranandani Gardens - Powai,Lalitpur",19.1,72.9,140
Dealer,1,1,1,BHK,359,0,1,"Wadala East,Lalitpur",19.0,72.9,98.7
Dealer,1,1,1,BHK,360,0,1,"Andheri (East),Mumbai",19.1,72.9,97.2
Builder,1,0,1,BHK,360,0,0,"Dooars,Siliguri",26.7,88.3,9
Owner,0,0,1,BHK,360,1,1,"Telungupalayam,Coimbatore",11.0,77.0,13
Owner,0,0,1,BHK,360,1,1,"Govind Puram,Ghaziabad",28.7,77.4,8.5
Dealer,0,0,1,RK,360,1,1,"Rawalpada,Lalitpur",24.7,78.4,50
Owner,0,0,2,BHK,360,1,1,"Kundrathur,Chennai",13.0,80.1,25
Owner,0,0,1,BHK,360,1,1,"Bhadrakali,Kolkata",22.7,88.4,15
Builder,1,1,2,BHK,363,0,0,"Karjat,Mumbai",19.0,72.8,26.9
Dealer,1,1,1,BHK,364,0,0,"Parel,Mumbai",42.0,-87.7,130
Dealer,1,1,1,BHK,364,0,0,"Parel,Lalitpur",19.0,72.8,130
Builder,1,1,1,BHK,364,0,0,"Jagatpura,Jaipur",26.8,75.8,7.9
Owner,0,1,1,BHK,364,1,1,"Devkhope,Palghar",19.7,72.8,14
Dealer,0,0,1,BHK,364,1,1,"Karve Nagar,Pune",18.5,73.8,45
Owner,0,0,1,BHK,365,1,1,"Talpur,Bhilai",21.2,81.3,50
Owner,0,0,1,BHK,365,1,1,"New Mehul Nagar,Jamnagar",22.5,70.1,13
Owner,0,0,1,BHK,365,1,1,"Talpuri,Bhilai",21.2,81.3,6
Dealer,1,1,1,BHK,366,0,1,"Bhandup (West),Maharashtra",19.1,72.9,64.3
Dealer,1,1,1,BHK,366,0,1,"Bhandup (West),Mumbai",19.1,72.9,64.3
Owner,0,0,1,BHK,366,1,1,"Tronica City,Ghaziabad",28.8,77.3,15
Dealer,1,1,1,BHK,366,0,0,"Thane West,Mumbai",19.2,73.0,69
Owner,1,1,1,BHK,366,0,1,"Shivsinghpura,Sikar",27.1,75.2,9.1
Dealer,0,1,1,BHK,366,1,0,"Hinjewadi,Pune",18.6,73.7,32
Builder,1,1,1,RK,367,0,0,"Khanda Colony,Lalitpur",24.7,78.4,49.4
Dealer,1,1,1,BHK,367,0,1,"New Panvel,Lalitpur",19.0,73.1,39.7
Dealer,1,1,1,BHK,367,0,1,"New Panvel,Mumbai",19.0,73.1,39.7
Dealer,1,0,1,BHK,368,0,1,"Kharghar,Maharashtra",19.0,73.1,38.3
Dealer,1,1,1,BHK,368,0,0,"New Panvel,Mumbai",19.0,73.1,38.3
Dealer,1,1,1,BHK,368,0,0,"New Panvel,Lalitpur",19.0,73.1,38.3
Dealer,1,1,1,BHK,369,0,0,"Kharghar,Maharashtra",19.0,73.1,47
Dealer,1,1,1,BHK,369,0,0,"Mira Road East,Mumbai",19.3,72.9,45
Dealer,1,0,1,BHK,370,0,1,"Borivali (East),Mumbai",19.2,72.9,75.9
Dealer,0,1,1,BHK,370,1,0,"Kasar vadavali,Maharashtra",20.1,72.9,51.1
Dealer,1,1,1,BHK,370,0,0,"Kasar vadavali,Maharashtra",20.1,72.9,51.1
Dealer,1,1,1,BHK,370,0,0,"Balkum,Maharashtra",19.2,73.0,69
Owner,0,0,2,BHK,370,1,1,"Uppal,Secunderabad",17.4,78.6,32
Owner,0,1,1,BHK,371,1,1,"Paud Gaon,Pune",18.5,73.6,18
Dealer,0,1,1,BHK,372,1,0,"Dombivli (East),Lalitpur",19.2,73.1,33.3
Owner,0,0,1,BHK,372,1,1,"Kalol,Gandhinagar",23.2,72.5,16
Owner,0,0,1,BHK,372,1,1,"Kalol,Gandhinagar",23.2,72.5,15
Dealer,1,1,1,BHK,373,0,0,"Bhiwandi,Lalitpur",19.3,73.1,33.9
Builder,1,1,1,BHK,374,0,0,"Karjat,Mumbai",19.0,72.8,23.4
Owner,0,0,1,BHK,374,1,1,"Kalol,Gandhinagar",23.2,72.5,18
Owner,0,0,1,BHK,374,1,1,"Karanaithangal,Kanchipuram",12.9,80.0,12.1
Builder,1,1,1,BHK,374,0,0,"Hiranandani Gardens - Powai,Lalitpur",19.1,72.9,130
Dealer,1,0,1,BHK,375,0,1,"New Panvel,Maharashtra",19.0,73.1,39
Dealer,1,0,1,BHK,375,0,1,"Panvel,Lalitpur",19.0,73.1,39
Dealer,1,0,1,BHK,375,0,1,"New Panvel,Mumbai",19.0,73.1,39
Owner,1,0,1,BHK,375,0,1,"jagatpura jaipur,Jaipur",26.8,75.8,15.5
Dealer,1,1,1,BHK,375,0,0,"Kandivali (West),Lalitpur",19.2,72.8,74.9
Dealer,0,0,1,BHK,375,1,1,"Garodia Nagar,Lalitpur",19.1,72.9,90
Dealer,1,1,1,BHK,375,0,0,"Balkum,Mumbai",19.2,73.0,51
Owner,0,0,1,BHK,375,1,1,"Padappai,Chennai",12.9,80.0,12
Owner,0,0,1,RK,375,1,1,"Borivali (East),Lalitpur",19.2,72.9,74
Owner,0,0,1,BHK,375,1,1,"Oros,Sindhudurg",16.3,73.7,12.5
Owner,0,0,1,BHK,375,1,1,"Padappai,Chennai",12.9,80.0,12.5
Owner,0,0,1,BHK,375,1,1,"Nageshwar,jamnagar road,Rajkot",22.3,69.1,13
Owner,0,0,1,BHK,375,1,1,"Nandan Van,Nagpur",21.2,79.1,13
Owner,0,0,1,BHK,375,1,1,"Karanaithangal,Kanchipuram",12.9,80.0,13
Dealer,1,1,1,BHK,376,0,1,"Punawale,Pune",18.6,73.7,33
Dealer,1,0,1,BHK,376,0,1,"Boisar,Maharashtra",19.8,72.8,19.9
Owner,0,0,1,BHK,377,1,1,"Nyay Khand 2,Ghaziabad",28.9,76.9,15
Dealer,0,0,1,BHK,377,1,1,"Madhuban Bapudham,Ghaziabad",28.7,77.5,3.5
Owner,1,0,1,BHK,377,0,1,"hapur,Hapur",28.7,77.8,12
Owner,0,0,1,BHK,378,1,1,"Dindoli,Surat",21.1,72.9,8
Dealer,1,1,1,BHK,378,0,1,"Ranjnoli,Lalitpur",24.7,78.4,30.2
Owner,0,0,1,BHK,378,1,1,"Vasundhara,Ghaziabad",28.7,77.4,30
Owner,0,0,1,BHK,379,1,1,"Maruti Nagar,Rajkot",21.7,70.4,18.7
Dealer,1,1,1,BHK,380,0,0,"Sector-16 Ulwe,Lalitpur",28.4,77.3,38
Owner,0,0,1,BHK,380,1,1,"Arpora,Goa",15.5,73.8,40
Dealer,0,0,1,BHK,380,1,1,"Evershine Nagar,Lalitpur",24.7,78.4,75
Owner,0,0,1,BHK,380,1,1,"Boisar,Palghar",19.8,72.8,10.5
Owner,0,0,1,BHK,380,1,1,"shroff road,Rajkot",21.0,77.0,24
Owner,0,0,1,BHK,380,1,1,"Shirse,Karjat",18.9,73.3,12.5
Dealer,0,0,1,BHK,380,1,1,"Sector-63 Chandigarh,Chandigarh",30.7,76.8,25
Builder,1,1,1,BHK,381,0,0,"Waluj,Lalitpur",24.7,78.4,16.5
Owner,0,0,1,BHK,381,1,1,"Nalasopara east,Palghar",19.4,72.8,25.5
Builder,1,1,2,BHK,382,0,0,"Ambernath East,Maharashtra",19.2,73.2,26.9
Dealer,0,1,1,BHK,384,1,1,"Virar West,Mumbai",19.5,72.8,33.9
Dealer,0,0,1,BHK,385,1,1,"Kalyan (East),Lalitpur",19.2,73.1,35
Dealer,1,0,1,BHK,385,0,1,"Ulwe,Maharashtra",19.0,73.0,24
Dealer,1,0,1,BHK,385,0,1,"Ulwe,Mumbai",19.0,73.0,24
Dealer,1,0,1,BHK,385,0,1,"Ulwe,Lalitpur",24.7,78.4,24
Dealer,0,1,1,BHK,386,1,1,"Patlipada,Maharashtra",21.3,74.0,75
Dealer,1,1,1,BHK,386,0,1,"Ambernath,Lalitpur",24.7,78.4,20.9
Owner,0,0,1,BHK,386,1,1,"Baksara,Kolkata",22.6,88.3,12.1
Dealer,1,1,1,BHK,386,0,0,"Pokhran-2,Lalitpur",24.7,78.4,61.7
Owner,0,0,1,BHK,387,1,1,"Diwalipura,Vadodara",22.3,73.2,27
Owner,0,0,2,BHK,387,1,1,"Panki,Kanpur",26.5,80.2,15
Owner,0,0,1,BHK,388,1,1,"Lal Ganesh,Guwahati",26.1,91.7,17
Dealer,1,1,1,BHK,390,0,0,"Goregaon (West),Mumbai",19.2,72.8,87.9
Dealer,1,1,1,BHK,390,0,0,"Goregaon (West),Lalitpur",19.2,72.8,87.9
Dealer,1,1,1,BHK,390,0,1,"Virar West,Lalitpur",19.5,72.8,29.8
